matrix,rows,cols,nnz,method,ms_mean,ms_median,ms_std,gflops,gbps,check_max_abs,pct_of_best_cusparse,samples_ms
webbase-1M.mtx,1000005,1000005,3105536,cusparse_default,0.0959391,0.095232,0.0102162,64.7398,471.825,-1,100,0.095232;0.094432;0.094752;0.09488;0.094848;0.09456;0.094848;0.096224;0.096256;0.096256;0.095168;0.095008;0.094816;0.095168;0.096192;0.09488;0.09552;0.095744;0.095328;0.094528;0.09488;0.09616;0.095712;0.094208;0.096192;0.094208;0.094752;0.094304;0.094816;0.0952;0.096256;0.0952;0.094944;0.094816;0.094784;0.094624;0.094848;0.094464;0.09504;0.096256;0.094368;0.095488;0.096128;0.094208;0.094816;0.095712;0.095808;0.096064;0.096256;0.096256;0.095808;0.094208;0.094688;0.094752;0.094624;0.096256;0.096;0.095808;0.09568;0.095264;0.094368;0.094912;0.096096;0.094208;0.09472;0.094464;0.094688;0.094432;0.095552;0.095488;0.096032;0.095456;0.095392;0.095264;0.094624;0.094944;0.094976;0.094208;0.094528;0.095168;0.094912;0.094784;0.094912;0.096256;0.0952;0.095072;0.096224;0.09616;0.095936;0.096032;0.09552;0.094208;0.094752;0.094464;0.09568;0.095456;0.094272;0.095744;0.095808;0.095232;0.094304;0.096256;0.095168;0.09504;0.095936;0.09616;0.096256;0.096192;0.096128;0.09568;0.096256;0.095136;0.094784;0.094176;0.09552;0.094688;0.095104;0.094816;0.095584;0.095392;0.09584;0.094368;0.096032;0.096;0.095872;0.096032;0.095968;0.096256;0.095168;0.095936;0.095232;0.094784;0.095648;0.094272;0.094848;0.094944;0.096192;0.094752;0.09456;0.09488;0.094816;0.094912;0.096192;0.096256;0.095456;0.094528;0.09504;0.094528;0.094528;0.094656;0.096064;0.096;0.095904;0.095904;0.095744;0.09552;0.094336;0.094592;0.096576;0.095424;0.094208;0.094528;0.09472;0.2568;0.095136;0.096128;0.096256;0.094944;0.095072;0.095136;0.09472;0.095648;0.094208;0.09504;0.094816;0.096;0.096256;0.095104;0.096256;0.09568;0.096256;0.094784;0.09584;0.094208;0.094592;0.09456;0.096256;0.096064;0.095808;0.095936;0.096128;0.09584;0.095552;0.095936;0.094304;0.09488;0.095968;0.096032;0.095936;0.095296;0.0944;0.094912;0.096128;0.095872;0.09536;0.095328;0.09472;0.094944;0.09616;0.096256;0.096128;0.096192;0.095968;0.09536;0.094656;0.095008;0.094528;0.094208;0.094656;0.094656;0.096736;0.094304;0.095456;0.094304;0.09584;0.095936;0.095456;0.094304;0.094912;0.096256;0.096224;0.095648;0.095904;0.096032;0.095648;0.094272;0.094848;0.094752;0.094592;0.094752;0.094656;0.095744;0.095392;0.09456;0.09472;0.095232;0.096288;0.096096;0.095488;0.094368
webbase-1M.mtx,1000005,1000005,3105536,cusparse_csr_alg2,0.106552,0.106496,0.00063592,58.2912,424.828,-1,90.0393,0.106592;0.106208;0.106048;0.106624;0.10848;0.106496;0.1064;0.106496;0.106496;0.106496;0.106496;0.107744;0.106816;0.10496;0.108544;0.107872;0.10656;0.105472;0.108032;0.10688;0.108;0.107904;0.106848;0.106592;0.107424;0.106496;0.106496;0.10704;0.106944;0.10688;0.106112;0.106496;0.106816;0.106272;0.106496;0.107968;0.105248;0.10656;0.106464;0.106688;0.106656;0.106304;0.108544;0.106496;0.106624;0.106336;0.107808;0.106496;0.10528;0.105024;0.106656;0.106304;0.106304;0.10608;0.106176;0.106432;0.10752;0.106112;0.106496;0.106912;0.106496;0.108128;0.10624;0.106496;0.107104;0.106496;0.107808;0.106656;0.1064;0.106496;0.107808;0.106784;0.106496;0.105376;0.10816;0.106592;0.106368;0.106496;0.10544;0.104928;0.105088;0.106656;0.106496;0.107488;0.106304;0.106496;0.106496;0.106432;0.107584;0.10624;0.106528;0.106496;0.10688;0.10672;0.106432;0.106496;0.106752;0.106528;0.108192;0.106496;0.106496;0.107168;0.106496;0.106496;0.106464;0.106496;0.107104;0.106496;0.106496;0.106656;0.106464;0.106496;0.106496;0.10544;0.107552;0.10656;0.106752;0.10656;0.106496;0.106752;0.106304;0.1064;0.106752;0.107968;0.10624;0.106496;0.106432;0.10592;0.106336;0.106496;0.1064;0.106624;0.105312;0.105184;0.10544;0.1072;0.106496;0.106432;0.106976;0.106496;0.106496;0.106464;0.104864;0.105408;0.106144;0.106368;0.106208;0.105824;0.106592;0.106432;0.106496;0.106816;0.106496;0.106496;0.1064;0.105824;0.106496;0.106496;0.106464;0.106496;0.106496;0.106496;0.107008;0.106496;0.106464;0.107552;0.106336;0.106656;0.106784;0.106496;0.10656;0.105792;0.106112;0.10624;0.106496;0.107808;0.106496;0.106208;0.10608;0.105792;0.106016;0.106496;0.10656;0.106496;0.106496;0.106976;0.106496;0.105344;0.106272;0.106272;0.106144;0.106496;0.106496;0.10512;0.107136;0.107776;0.10656;0.106496;0.107776;0.106976;0.1064;0.10768;0.106528;0.106656;0.106496;0.105408;0.106176;0.106304;0.106272;0.107744;0.10656;0.106496;0.106432;0.106496;0.106464;0.106496;0.106528;0.10528;0.107168;0.106496;0.106752;0.106016;0.106112;0.1064;0.106464;0.106496;0.106528;0.106304;0.107776;0.105888;0.106368;0.10608;0.105888;0.106656;0.107968;0.105856;0.106688;0.106496;0.106816;0.106496;0.106496;0.106432;0.106496;0.106496;0.1064;0.10608;0.10672;0.106496;0.1064;0.106496
webbase-1M.mtx,1000005,1000005,3105536,baseline,0.24908,0.233808,0.0226028,24.9361,181.735,5.34058e-05,38.5174,0.281792;0.278368;0.283072;0.278528;0.282176;0.280288;0.279968;0.280672;0.279744;0.282208;0.280672;0.27984;0.28048;0.27648;0.280736;0.280576;0.281568;0.279776;0.280896;0.280576;0.278304;0.280512;0.277664;0.280224;0.278592;0.281888;0.278368;0.278528;0.282304;0.27824;0.280576;0.279104;0.281312;0.280608;0.280864;0.279808;0.278816;0.280512;0.278784;0.27936;0.279584;0.278784;0.281984;0.280576;0.280448;0.278528;0.280416;0.280768;0.279488;0.277184;0.28048;0.279904;0.278944;0.283904;0.280192;0.280384;0.282112;0.278304;0.278528;0.283104;0.280576;0.281952;0.278688;0.280544;0.282432;0.280576;0.280992;0.280576;0.27776;0.280832;0.28224;0.27824;0.27984;0.280448;0.278656;0.277088;0.280768;0.278528;0.279104;0.278592;0.27904;0.282624;0.280896;0.262624;0.233408;0.23552;0.23376;0.234112;0.235776;0.2352;0.235136;0.23552;0.235328;0.237568;0.23312;0.233536;0.235264;0.23552;0.233184;0.23504;0.236992;0.23552;0.234048;0.235552;0.235168;0.235008;0.233472;0.233472;0.23552;0.233952;0.23664;0.233472;0.23456;0.234976;0.234784;0.233472;0.23744;0.233536;0.23488;0.234816;0.235392;0.234976;0.233472;0.236256;0.235072;0.233472;0.233952;0.233792;0.23552;0.23536;0.235296;0.236928;0.232736;0.231424;0.232192;0.231872;0.231424;0.232288;0.232608;0.231584;0.233344;0.230752;0.231424;0.233056;0.231424;0.23312;0.231584;0.231744;0.231488;0.231616;0.231776;0.233312;0.232704;0.231648;0.231488;0.2312;0.231424;0.234688;0.231424;0.231872;0.231072;0.231168;0.231424;0.231712;0.2312;0.231424;0.232288;0.23232;0.232608;0.231424;0.231456;0.231424;0.233632;0.2352;0.233376;0.23168;0.232832;0.233344;0.231328;0.230976;0.231424;0.2328;0.232672;0.231424;0.233568;0.23024;0.233824;0.233472;0.232288;0.23376;0.233472;0.31568;0.231872;0.233024;0.2336;0.23152;0.234048;0.233408;0.233312;0.231424;0.2328;0.23328;0.23136;0.231488;0.233312;0.231424;0.233408;0.232704;0.2296;0.231488;0.232832;0.231424;0.232736;0.233024;0.231424;0.231424;0.231456;0.231424;0.231936;0.235392;0.231264;0.231456;0.232768;0.23344;0.231584;0.233056;0.233472;0.233472;0.233152;0.233696;0.231584;0.231872;0.231424;0.232096;0.232288;0.231424;0.233312;0.231392;0.232384;0.23296;0.233152;0.23152;0.231776;0.231424;0.232224;0.232352;0.230368;0.232128;0.232064;0.231168
webbase-1M.mtx,1000005,1000005,3105536,warp_per_row,0.455183,0.454368,0.0125014,13.6452,99.4468,1.52588e-05,21.077,0.45504;0.452608;0.454304;0.454656;0.454496;0.45344;0.454848;0.454496;0.453792;0.454176;0.452608;0.453568;0.454432;0.454368;0.454336;0.454624;0.454656;0.453472;0.454464;0.454656;0.454656;0.640576;0.454656;0.455264;0.454656;0.454528;0.452928;0.452928;0.454848;0.454432;0.454624;0.454496;0.454528;0.454656;0.45456;0.455168;0.454656;0.453312;0.45312;0.454272;0.452608;0.45488;0.454432;0.454656;0.4552;0.453856;0.454656;0.4536;0.4544;0.45312;0.454464;0.454368;0.45392;0.45408;0.454304;0.454656;0.45328;0.454208;0.454656;0.453952;0.452704;0.4536;0.520896;0.454144;0.454656;0.453056;0.454336;0.454272;0.454176;0.454656;0.453408;0.453408;0.453056;0.453408;0.45344;0.453024;0.454304;0.454368;0.454656;0.455712;0.454496;0.453984;0.454656;0.454464;0.454304;0.454592;0.454592;0.454624;0.453728;0.454464;0.454656;0.45456;0.454592;0.453824;0.453824;0.45408;0.454528;0.453888;0.453952;0.453984;0.453824;0.453952;0.452608;0.454208;0.45392;0.452864;0.453152;0.45296;0.4552;0.454528;0.454432;0.454656;0.453184;0.45472;0.454272;0.454656;0.454336;0.455072;0.4536;0.454656;0.453152;0.45408;0.453856;0.454656;0.454656;0.45328;0.454464;0.454208;0.454656;0.454048;0.453888;0.452992;0.45328;0.45456;0.452896;0.454656;0.453152;0.454144;0.45376;0.454528;0.45456;0.454528;0.454944;0.454368;0.4544;0.454304;0.454432;0.45424;0.452352;0.454656;0.453056;0.454176;0.454592;0.454496;0.453952;0.453952;0.454304;0.454336;0.454624;0.45472;0.455232;0.452704;0.453248;0.454656;0.45344;0.454816;0.452992;0.454208;0.454208;0.454656;0.454016;0.454656;0.454112;0.454656;0.454656;0.452896;0.452832;0.45344;0.454528;0.45408;0.453984;0.454304;0.452608;0.453408;0.454784;0.454048;0.45392;0.453888;0.45376;0.454208;0.45472;0.454688;0.453856;0.454592;0.454976;0.45424;0.455904;0.452832;0.453248;0.453632;0.454656;0.454496;0.455328;0.454976;0.454656;0.454656;0.454656;0.454432;0.454656;0.45568;0.455712;0.45392;0.4544;0.454592;0.454464;0.456704;0.454368;0.453056;0.454464;0.454656;0.455808;0.454656;0.454976;0.454624;0.454656;0.453376;0.453792;0.454016;0.454528;0.453536;0.453184;0.453184;0.452608;0.454656;0.45456;0.453632;0.454176;0.453152;0.45456;0.45392;0.452768;0.454656;0.454496;0.456352;0.454016;0.454656;0.452608;0.454112;0.454656;0.454688
webbase-1M.mtx,1000005,1000005,3105536,multiwarp_per_row,2.15294,2.1527,0.000679463,2.88493,21.0254,1.52588e-05,4.45619,2.15245;2.15245;2.15264;2.15258;2.15264;2.15424;2.15357;2.15395;2.15245;2.15277;2.15373;2.15245;2.15322;2.15315;2.15245;2.15283;2.15245;2.15318;2.15245;2.15139;2.15334;2.15302;2.15245;2.15264;2.15318;2.15238;2.1527;2.15331;2.15354;2.15248;2.15302;2.15245;2.15267;2.15245;2.15254;2.15245;2.15299;2.1527;2.15347;2.15245;2.1513;2.15296;2.15315;2.15274;2.15421;2.15421;2.15245;2.15331;2.15245;2.15245;2.15331;2.15427;2.15245;2.15226;2.15245;2.15373;2.15402;2.15286;2.1545;2.15293;2.15264;2.15354;2.15245;2.15341;2.1537;2.1535;2.15264;2.15226;2.15245;2.15206;2.15357;2.15238;2.1545;2.15405;2.15389;2.15354;2.15187;2.15245;2.15302;2.15245;2.15315;2.15392;2.15245;2.15446;2.15424;2.15245;2.15424;2.15245;2.15248;2.15235;2.15357;2.1527;2.15373;2.15261;2.15286;2.15411;2.15245;2.15258;2.15245;2.15354;2.15363;2.15267;2.15312;2.15373;2.15254;2.15238;2.15373;2.15251;2.15293;2.15309;2.15254;2.15389;2.15245;2.15366;2.15402;2.15245;2.15277;2.15133;2.1527;2.15325;2.15357;2.15264;2.1527;2.1537;2.15245;2.15254;2.15418;2.15245;2.1527;2.1528;2.15376;2.15245;2.1513;2.15248;2.15245;2.1529;2.15114;2.15286;2.15328;2.15334;2.1535;2.15395;2.15245;2.15344;2.1537;2.1545;2.1545;2.15261;2.15277;2.15232;2.15283;2.15405;2.15379;2.15245;2.15296;2.1527;2.15251;2.15347;2.15395;2.15261;2.15299;2.15382;2.15245;2.15296;2.15245;2.15286;2.15437;2.15344;2.1537;2.15267;2.15267;2.15242;2.15146;2.15229;2.15245;2.15293;2.15283;2.15277;2.15238;2.15245;2.15261;2.15142;2.1527;2.15274;2.1527;2.15258;2.1527;2.15277;2.15245;2.15331;2.15322;2.15245;2.15341;2.15302;2.15245;2.15443;2.1535;2.15267;2.15277;2.15245;2.15123;2.15293;2.15277;2.15245;2.15386;2.15245;2.15229;2.15248;2.15258;2.15318;2.15264;2.15373;2.15376;2.15245;2.15344;2.15261;2.15213;2.15251;2.15245;2.15347;2.15264;2.15245;2.15405;2.15245;2.1527;2.15136;2.15238;2.15245;2.1529;2.15411;2.15421;2.15402;2.15261;2.15267;2.15245;2.15267;2.15267;2.15222;2.15414;2.1537;2.15245;2.15334;2.1529;2.15274;2.15245;2.15312;2.15245;2.15296;2.15309;2.15347
webbase-1M.mtx,1000005,1000005,3105536,warp_vectorized,0.61753,0.617056,0.00445973,10.0579,73.3025,1.52588e-05,15.5359,0.61808;0.617088;0.617696;0.616608;0.61728;0.616448;0.618304;0.618432;0.617248;0.618304;0.61776;0.616736;0.61712;0.618112;0.61792;0.616448;0.616544;0.616608;0.617312;0.61712;0.617952;0.617664;0.616448;0.617952;0.61648;0.617312;0.616448;0.616768;0.617472;0.61728;0.617856;0.616448;0.61696;0.618048;0.616448;0.61712;0.61696;0.617824;0.61664;0.616896;0.618016;0.617568;0.61648;0.61664;0.618336;0.617984;0.617984;0.616448;0.617056;0.617312;0.617312;0.61728;0.617664;0.616768;0.6184;0.61808;0.616448;0.686144;0.617088;0.617088;0.617952;0.616448;0.6168;0.6168;0.617888;0.617536;0.616448;0.616736;0.617056;0.618144;0.616448;0.616448;0.618016;0.618304;0.61808;0.618048;0.617504;0.616448;0.616704;0.61712;0.618016;0.617504;0.616448;0.616608;0.617984;0.617472;0.617568;0.6176;0.616576;0.618016;0.617504;0.616608;0.616768;0.618496;0.617216;0.61776;0.6176;0.616448;0.617056;0.616768;0.617504;0.616768;0.61728;0.61664;0.616448;0.617152;0.617888;0.617728;0.617536;0.61664;0.617088;0.617824;0.61776;0.616576;0.617184;0.617856;0.617824;0.616544;0.616608;0.617152;0.61776;0.616576;0.616864;0.616896;0.6176;0.61696;0.616672;0.616608;0.618272;0.618496;0.617152;0.617824;0.616576;0.617024;0.617696;0.616448;0.61696;0.617792;0.617696;0.617568;0.616704;0.616768;0.616448;0.616736;0.616736;0.616608;0.616608;0.61632;0.616448;0.616448;0.616736;0.618176;0.616448;0.616768;0.616512;0.616832;0.617024;0.615296;0.616736;0.616992;0.61792;0.61648;0.6168;0.617632;0.616448;0.616512;0.616704;0.6168;0.617856;0.616448;0.616896;0.617632;0.616608;0.61696;0.616448;0.616992;0.61776;0.616448;0.617952;0.617792;0.616448;0.616448;0.61664;0.617536;0.61648;0.616576;0.61792;0.616512;0.617088;0.616992;0.618368;0.617216;0.617472;0.616576;0.616672;0.622144;0.616864;0.627232;0.616704;0.617088;0.618272;0.617792;0.616448;0.617088;0.617536;0.6168;0.617088;0.617824;0.616448;0.617248;0.616544;0.6168;0.617664;0.616544;0.617088;0.617632;0.616576;0.616896;0.616448;0.61696;0.617728;0.616704;0.616704;0.616448;0.6168;0.616448;0.61696;0.616896;0.617632;0.616512;0.617696;0.617664;0.616896;0.6176;0.616704;0.618208;0.617984;0.616448;0.616672;0.616448;0.616832;0.617184;0.616448;0.61696;0.617696;0.61904;0.620192;0.619872;0.619808;0.619584
webbase-1M.mtx,1000005,1000005,3105536,merge,0.29888,0.298304,0.00963857,20.7812,151.454,3.05176e-05,32.0995,0.301056;0.301312;0.298784;0.4496;0.299008;0.299008;0.299008;0.299392;0.297984;0.2976;0.29712;0.30032;0.297056;0.297216;0.30016;0.297248;0.297088;0.298752;0.29696;0.297216;0.298368;0.30048;0.299104;0.298688;0.29872;0.29696;0.29744;0.299008;0.295872;0.297792;0.299008;0.299296;0.299008;0.29712;0.297696;0.29888;0.300448;0.296992;0.301056;0.29776;0.298176;0.297152;0.30048;0.29696;0.299008;0.297664;0.299008;0.299008;0.2984;0.29824;0.298592;0.298816;0.299008;0.29744;0.298656;0.299008;0.30096;0.296608;0.298208;0.29696;0.29792;0.300704;0.29696;0.299424;0.298528;0.299008;0.298976;0.298944;0.29584;0.299168;0.297088;0.300736;0.295072;0.297216;0.30064;0.296224;0.297024;0.29888;0.29824;0.298656;0.29696;0.297792;0.297152;0.299008;0.299008;0.300768;0.298112;0.299008;0.297824;0.297632;0.301184;0.299008;0.29728;0.29536;0.296768;0.299104;0.29904;0.301056;0.298336;0.2992;0.299904;0.29696;0.299008;0.298176;0.299328;0.297504;0.299008;0.299104;0.298976;0.2984;0.299136;0.298112;0.297536;0.300992;0.298304;0.299008;0.300608;0.298016;0.29904;0.299008;0.299008;0.297504;0.300672;0.298688;0.299008;0.299744;0.29696;0.299008;0.297888;0.296512;0.29696;0.297504;0.299008;0.297664;0.299424;0.297856;0.298688;0.29696;0.297472;0.298496;0.300192;0.30128;0.297632;0.299008;0.299008;0.297856;0.297216;0.297024;0.299872;0.29696;0.29888;0.300544;0.29696;0.297312;0.295904;0.299392;0.29696;0.295904;0.300736;0.29824;0.298976;0.298656;0.29696;0.297312;0.297568;0.297984;0.29872;0.297056;0.301024;0.29728;0.295552;0.299008;0.29808;0.299328;0.29648;0.300352;0.298272;0.298368;0.296992;0.297344;0.29696;0.296512;0.297248;0.29856;0.298272;0.29856;0.29696;0.299712;0.29696;0.29936;0.299008;0.297568;0.298304;0.299008;0.297984;0.295264;0.297472;0.296768;0.299008;0.29888;0.29808;0.299008;0.299008;0.29696;0.299008;0.297824;0.297248;0.299008;0.296576;0.29696;0.29696;0.298432;0.296096;0.296832;0.29696;0.297376;0.298016;0.300512;0.29696;0.299008;0.297024;0.29696;0.29696;0.298144;0.297344;0.296864;0.298624;0.297184;0.299712;0.30064;0.29632;0.29696;0.296608;0.298624;0.299072;0.299008;0.301056;0.29696;0.297568;0.299008;0.297376;0.299008;0.297888;0.29936;0.298464;0.29696;0.296416;0.29712;0.299008;0.298432
webbase-1M.mtx,1000005,1000005,3105536,cpasync_double,0.692104,0.691584,0.01219,8.97418,65.4041,1.52588e-05,13.8619,0.693024;0.690176;0.689632;0.690176;0.68864;0.688128;0.688512;0.693568;0.688128;0.690016;0.692224;0.689792;0.692224;0.689056;0.691008;0.693632;0.69184;0.690176;0.691072;0.692224;0.688704;0.69264;0.691104;0.691008;0.689024;0.693856;0.688128;0.691936;0.692224;0.688096;0.690592;0.692224;0.694272;0.692128;0.694272;0.692896;0.692064;0.692224;0.692224;0.692512;0.689632;0.690176;0.69184;0.691936;0.696224;0.691104;0.691872;0.692224;0.688928;0.690784;0.688064;0.68976;0.692224;0.690816;0.690528;0.691776;0.691808;0.693472;0.690528;0.691936;0.692384;0.69072;0.69232;0.694272;0.689696;0.688128;0.692064;0.693248;0.692256;0.692096;0.690112;0.691456;0.68976;0.694112;0.692128;0.692288;0.69232;0.689952;0.692384;0.690176;0.690912;0.692672;0.691008;0.688896;0.688544;0.692224;0.692416;0.689184;0.690176;0.698336;0.688288;0.692512;0.6912;0.692128;0.69152;0.6904;0.69072;0.690432;0.6928;0.689024;0.692384;0.690176;0.688832;0.692736;0.691136;0.690048;0.692736;0.688448;0.691168;0.69104;0.691456;0.690304;0.690496;0.692512;0.690176;0.688672;0.690304;0.692672;0.691744;0.690176;0.690688;0.69216;0.69264;0.690176;0.690912;0.691776;0.690112;0.691456;0.68928;0.692192;0.692352;0.69216;0.693664;0.69216;0.690176;0.690176;0.688224;0.692224;0.690592;0.692896;0.691328;0.690464;0.695936;0.69456;0.691264;0.692032;0.688128;0.691776;0.69248;0.691168;0.692224;0.693216;0.691808;0.690176;0.690528;0.692224;0.690656;0.694272;0.690176;0.689856;0.69232;0.688544;0.692576;0.693472;0.690176;0.692544;0.68864;0.69168;0.689664;0.692224;0.690464;0.688256;0.69024;0.69296;0.690752;0.690944;0.690176;0.69088;0.691136;0.69344;0.690176;0.690912;0.689312;0.690528;0.691776;0.694144;0.693216;0.692224;0.69264;0.693824;0.688128;0.690336;0.690176;0.690464;0.692384;0.692224;0.691552;0.692224;0.690176;0.692896;0.69216;0.692224;0.69632;0.69136;0.882688;0.692448;0.69248;0.691616;0.690176;0.69264;0.690176;0.690624;0.692576;0.692224;0.692064;0.688192;0.692128;0.691648;0.69024;0.69184;0.691744;0.693664;0.688256;0.690624;0.690176;0.690656;0.693824;0.693696;0.69168;0.692224;0.693504;0.691648;0.691936;0.692064;0.692224;0.692576;0.692128;0.692096;0.690592;0.693376;0.689184;0.689376;0.693472;0.690368;0.690464;0.689888;0.691712;0.691808;0.689632;0.69152
amazon0312.mtx,400727,400727,3200440,cusparse_default,0.0851005,0.08408,0.0111756,75.2155,488.964,-1,100,0.085056;0.085024;0.084192;0.083968;0.08448;0.083936;0.083968;0.08432;0.083968;0.084;0.083968;0.084288;0.083968;0.084352;0.083968;0.0856;0.083968;0.083968;0.084064;0.083968;0.083968;0.08416;0.083968;0.084032;0.084064;0.083968;0.083968;0.083744;0.08416;0.083904;0.083968;0.08432;0.085184;0.084224;0.083968;0.083904;0.084256;0.085664;0.083968;0.085184;0.084064;0.083968;0.08448;0.083968;0.082816;0.084;0.083968;0.083968;0.083872;0.083968;0.084064;0.084128;0.083968;0.085312;0.083968;0.082656;0.083968;0.083968;0.08512;0.083968;0.085632;0.083936;0.082944;0.085088;0.083968;0.08384;0.083968;0.085376;0.083968;0.084192;0.084128;0.084064;0.083968;0.083744;0.083968;0.083968;0.084;0.085472;0.084096;0.084064;0.084096;0.083968;0.083904;0.083968;0.084224;0.083968;0.08432;0.084288;0.083968;0.084;0.083968;0.083872;0.084288;0.084288;0.083872;0.084128;0.084384;0.08448;0.083968;0.084;0.083744;0.084352;0.083968;0.084032;0.083968;0.084256;0.084;0.084128;0.083968;0.082816;0.084032;0.083968;0.085216;0.084032;0.085216;0.083872;0.083968;0.085184;0.083712;0.083968;0.083968;0.085664;0.086496;0.086016;0.084256;0.08448;0.086336;0.08528;0.084256;0.084704;0.085216;0.084064;0.085312;0.084288;0.085536;0.08416;0.084224;0.085024;0.085184;0.084928;0.084608;0.084064;0.083968;0.083968;0.083968;0.08544;0.084032;0.084096;0.083968;0.083968;0.085888;0.084192;0.084128;0.084288;0.084288;0.084192;0.086016;0.083808;0.26112;0.086016;0.084352;0.084032;0.083968;0.083968;0.085216;0.08432;0.084;0.084608;0.084512;0.08512;0.085248;0.084512;0.085664;0.083968;0.086016;0.08512;0.084224;0.084672;0.083968;0.083968;0.083968;0.084032;0.087232;0.086016;0.084736;0.08544;0.085376;0.083968;0.082848;0.084448;0.085408;0.084192;0.086016;0.085728;0.083968;0.083968;0.085088;0.084736;0.085216;0.083968;0.084384;0.084064;0.085888;0.085408;0.084224;0.086176;0.084864;0.085312;0.084032;0.08512;0.08448;0.083968;0.084224;0.083968;0.084512;0.083968;0.083968;0.08432;0.085216;0.084;0.085024;0.084;0.083968;0.084032;0.083968;0.08384;0.083968;0.084992;0.08384;0.083648;0.084992;0.085344;0.084192;0.08512;0.084064;0.084416;0.084608;0.084544;0.085088;0.084;0.083968;0.084032;0.084448;0.083808;0.084896;0.085408;0.083968;0.083968;0.083776;0.085376
amazon0312.mtx,400727,400727,3200440,cusparse_csr_alg2,0.0949167,0.094688,0.000663317,67.4368,438.396,-1,89.6581,0.094208;0.094656;0.095488;0.094304;0.09488;0.096;0.094272;0.094912;0.096256;0.095488;0.0944;0.094208;0.096224;0.095616;0.094368;0.096;0.095392;0.094656;0.095584;0.094432;0.094144;0.094464;0.094336;0.094848;0.094656;0.094304;0.095872;0.094208;0.096;0.094208;0.094272;0.094752;0.094208;0.094848;0.096256;0.095072;0.095776;0.094368;0.094208;0.094656;0.096128;0.094208;0.094688;0.095616;0.095808;0.095488;0.094432;0.094784;0.095648;0.0944;0.09424;0.094592;0.095488;0.094368;0.09552;0.094272;0.09552;0.094368;0.094208;0.094816;0.095904;0.094208;0.094976;0.095424;0.094592;0.094208;0.094592;0.094208;0.094336;0.094464;0.095776;0.094464;0.094816;0.094208;0.095808;0.094208;0.09552;0.09456;0.094976;0.095456;0.094208;0.095392;0.094816;0.09584;0.094208;0.094208;0.095072;0.096256;0.095424;0.094656;0.095808;0.094208;0.0952;0.0944;0.095808;0.094208;0.095072;0.094208;0.094592;0.094208;0.09456;0.094208;0.094592;0.094208;0.094688;0.095168;0.095392;0.094336;0.095744;0.095648;0.094432;0.095456;0.094304;0.095872;0.094208;0.094208;0.09472;0.09584;0.094208;0.094208;0.094592;0.094272;0.09472;0.096256;0.095968;0.09424;0.095776;0.09424;0.095936;0.094208;0.094496;0.094624;0.094208;0.094784;0.095456;0.094208;0.094656;0.095584;0.09552;0.094592;0.095776;0.094208;0.094816;0.094208;0.094528;0.094272;0.094592;0.095264;0.094496;0.09536;0.096256;0.095584;0.094304;0.094208;0.09472;0.095712;0.094208;0.094848;0.094208;0.094432;0.095424;0.094624;0.094208;0.094528;0.094912;0.09552;0.0944;0.094272;0.094432;0.094656;0.095584;0.094208;0.095808;0.095904;0.09584;0.094208;0.094144;0.094208;0.095072;0.094208;0.094848;0.095328;0.094432;0.09424;0.094976;0.095648;0.094208;0.095424;0.09424;0.094528;0.09424;0.094752;0.096256;0.094592;0.096;0.096256;0.095232;0.096192;0.094496;0.095488;0.0952;0.094848;0.09488;0.094528;0.094208;0.095936;0.094272;0.094432;0.0944;0.094912;0.095936;0.094208;0.094816;0.094688;0.095648;0.095424;0.094208;0.095584;0.094208;0.094976;0.094624;0.095936;0.095616;0.094208;0.094688;0.095968;0.095776;0.09552;0.094208;0.09472;0.095424;0.095232;0.094208;0.095456;0.094208;0.096256;0.094528;0.09472;0.095904;0.096256;0.094208;0.0944;0.094624;0.095136;0.096224;0.096224;0.094208;0.094816;0.09504;0.095776
