matrix,rows,cols,nnz,method,ms_mean,ms_median,ms_std,gflops,gbps,check_max_abs,pct_of_best_cusparse,samples_ms
webbase-1M.mtx,1000005,1000005,3105536,cusparse_default,0.0956979,0.095824,0.000608713,64.9029,473.014,-1,100,0.096256;0.096256;0.095968;0.09552;0.095712;0.096032;0.096256;0.095744;0.09568;0.09616;0.096256;0.095456;0.096224;0.095008;0.096256;0.094688;0.095776;0.095712;0.096032;0.096;0.09616;0.095872;0.095872;0.096256;0.09504;0.095008;0.094848;0.094208;0.096256;0.096032;0.095712;0.096224;0.096256;0.096256;0.096256;0.095104;0.09568;0.095648;0.096064;0.096224;0.096256;0.096256;0.094848;0.094976;0.094688;0.096096;0.096256;0.094912;0.096256;0.095232;0.096192;0.096256;0.096256;0.094688;0.096256;0.096256;0.096576;0.096;0.096192;0.09744;0.096256;0.094944;0.094496;0.095616;0.0944;0.095648;0.095712;0.096032;0.096032;0.096256;0.09584;0.095392;0.096256;0.09504;0.094752;0.095872;0.095584;0.096256;0.09488;0.095456;0.096224;0.095936;0.095584;0.094208;0.095776;0.095424;0.09568;0.095968;0.096256;0.094784;0.09456;0.094624;0.095456;0.095552;0.095488;0.09552;0.095808;0.096256;0.095168;0.094944
webbase-1M.mtx,1000005,1000005,3105536,cusparse_csr_alg2,0.106759,0.10656,0.000529963,58.1782,424.005,-1,89.6389,0.106624;0.1064;0.107552;0.106464;0.106496;0.106816;0.106496;0.106848;0.107904;0.10656;0.106688;0.106496;0.106432;0.106496;0.106784;0.106496;0.106656;0.10768;0.106496;0.106592;0.107232;0.107712;0.106496;0.106944;0.106496;0.108096;0.10752;0.1064;0.10752;0.10608;0.106112;0.106496;0.106944;0.106912;0.105408;0.106304;0.106496;0.10688;0.106496;0.106752;0.106496;0.106816;0.106496;0.10656;0.108096;0.106496;0.106848;0.10656;0.1064;0.106592;0.106272;0.106784;0.107968;0.106496;0.106336;0.108096;0.106496;0.10704;0.10768;0.106496;0.106944;0.10752;0.107712;0.10624;0.106496;0.107584;0.106496;0.105248;0.106208;0.10624;0.107584;0.106656;0.107104;0.106496;0.106784;0.106496;0.10656;0.107136;0.106496;0.106688;0.107744;0.106496;0.10624;0.106464;0.107104;0.106496;0.106432;0.106496;0.106464;0.10656;0.106912;0.107648;0.106496;0.106464;0.106496;0.106496;0.106624;0.10704;0.106496;0.106784
webbase-1M.mtx,1000005,1000005,3105536,baseline,0.280917,0.280576,0.00163039,22.11,161.138,5.34058e-05,34.0662,0.282368;0.282624;0.280576;0.284672;0.283744;0.280576;0.281152;0.279808;0.280032;0.280576;0.280576;0.279456;0.281184;0.282624;0.278784;0.280576;0.279456;0.280032;0.281664;0.280416;0.281984;0.280448;0.278528;0.280064;0.280576;0.278944;0.279744;0.278528;0.283456;0.282784;0.281792;0.279648;0.282176;0.28176;0.280416;0.283744;0.280576;0.279296;0.280576;0.280768;0.279776;0.280576;0.2816;0.282112;0.280672;0.27904;0.278752;0.28192;0.282368;0.281696;0.278528;0.281536;0.281088;0.2824;0.278528;0.283008;0.281408;0.280288;0.280576;0.282624;0.282368;0.279904;0.280576;0.281152;0.281728;0.282624;0.282624;0.278688;0.279968;0.278592;0.278912;0.280576;0.28672;0.28096;0.284672;0.279456;0.28064;0.278528;0.279328;0.28096;0.280192;0.282624;0.280576;0.278848;0.282848;0.280832;0.278528;0.284096;0.278592;0.281024;0.28112;0.280672;0.281888;0.284672;0.28064;0.280576;0.2792;0.281504;0.280576;0.278528
webbase-1M.mtx,1000005,1000005,3105536,lightspmv,0.150323,0.149664,0.00134865,41.3182,301.128,3.05176e-05,63.6616,0.155168;0.1536;0.152672;0.1536;0.15168;0.153376;0.151808;0.151552;0.15328;0.151968;0.152416;0.153248;0.152096;0.152704;0.153088;0.15216;0.154656;0.154112;0.149504;0.149696;0.149632;0.149504;0.149952;0.15008;0.149504;0.149504;0.149952;0.149504;0.149792;0.149504;0.149664;0.149504;0.149696;0.149536;0.149504;0.149568;0.149504;0.14976;0.149632;0.149504;0.149408;0.149568;0.149504;0.149728;0.149504;0.149696;0.151008;0.149504;0.150816;0.149504;0.14976;0.149504;0.1496;0.1496;0.149504;0.14976;0.149504;0.149664;0.150656;0.149504;0.14976;0.149504;0.14976;0.150752;0.149536;0.150176;0.150112;0.149952;0.149504;0.1496;0.149472;0.149504;0.14992;0.150624;0.149536;0.150016;0.150528;0.149504;0.1496;0.149504;0.149504;0.149472;0.149504;0.149536;0.149504;0.150368;0.149504;0.149568;0.150944;0.149504;0.149728;0.149504;0.150112;0.149504;0.149504;0.149504;0.14992;0.149696;0.150528;0.149536
amazon0312.mtx,400727,400727,3200440,cusparse_default,0.0837331,0.083968,0.000530953,76.4438,496.949,-1,100,0.083296;0.083872;0.083776;0.083968;0.082784;0.084384;0.083968;0.082816;0.084096;0.083968;0.083744;0.083968;0.083712;0.083776;0.083968;0.084576;0.083968;0.084128;0.083808;0.085344;0.083968;0.083936;0.083584;0.083552;0.083968;0.083968;0.084128;0.083968;0.082624;0.083968;0.082912;0.08368;0.083584;0.083968;0.082784;0.084256;0.083968;0.083968;0.083616;0.083744;0.083968;0.08416;0.083968;0.084672;0.083968;0.084064;0.083968;0.082848;0.084064;0.082496;0.084256;0.083968;0.083584;0.083904;0.083968;0.083552;0.08352;0.082784;0.084032;0.082944;0.083616;0.083968;0.083968;0.082592;0.082624;0.082656;0.084288;0.083968;0.084448;0.083968;0.082784;0.08432;0.083968;0.08288;0.084128;0.08384;0.083968;0.082656;0.082368;0.083776;0.083808;0.083968;0.084;0.083904;0.083968;0.08288;0.083936;0.083968;0.084032;0.083968;0.083872;0.083968;0.082912;0.083872;0.083808;0.083968;0.083744;0.083968;0.08368;0.083552
amazon0312.mtx,400727,400727,3200440,cusparse_csr_alg2,0.094527,0.094352,0.000564243,67.7148,440.203,-1,88.5811,0.094816;0.093184;0.094496;0.094528;0.09616;0.094208;0.094208;0.094816;0.092896;0.094624;0.095488;0.093888;0.094208;0.094112;0.094208;0.095584;0.095232;0.09408;0.094208;0.095072;0.095424;0.094208;0.094592;0.094432;0.095296;0.094272;0.0944;0.094208;0.0944;0.094208;0.094496;0.092896;0.094304;0.094336;0.094208;0.094208;0.094208;0.094208;0.095296;0.094368;0.095136;0.094912;0.095328;0.094208;0.094368;0.09472;0.094208;0.094304;0.095488;0.095296;0.094208;0.094208;0.094368;0.094208;0.095296;0.09424;0.094496;0.095968;0.095328;0.094496;0.094208;0.09408;0.094208;0.094336;0.094208;0.094048;0.09552;0.093984;0.094208;0.094208;0.09504;0.094208;0.094464;0.094208;0.094432;0.094432;0.094208;0.094912;0.094432;0.09424;0.094208;0.095328;0.093888;0.094208;0.09504;0.095616;0.094208;0.09424;0.095424;0.094368;0.09472;0.094208;0.094592;0.094208;0.094848;0.094528;0.094208;0.094912;0.095328;0.094272
amazon0312.mtx,400727,400727,3200440,baseline,0.104316,0.104448,0.00124088,61.3606,398.895,1.90735e-06,80.2688,0.106368;0.105312;0.104448;0.10576;0.104864;0.104448;0.105088;0.10496;0.103296;0.1048;0.104448;0.106496;0.105472;0.105696;0.104512;0.104768;0.104864;0.1048;0.104448;0.104448;0.105088;0.104608;0.104448;0.105472;0.10432;0.104864;0.103968;0.10592;0.104192;0.105088;0.104352;0.10464;0.10592;0.10544;0.104448;0.105952;0.104544;0.105888;0.104512;0.105024;0.106176;0.104928;0.106048;0.106496;0.104;0.105344;0.104448;0.10608;0.10432;0.106144;0.104416;0.105056;0.103808;0.106624;0.104544;0.104448;0.104352;0.104448;0.1032;0.104608;0.104448;0.104544;0.10336;0.104448;0.104448;0.105984;0.104512;0.104736;0.104608;0.105408;0.103424;0.106176;0.105248;0.10256;0.10192;0.1024;0.102368;0.102592;0.102816;0.102624;0.1024;0.104032;0.103072;0.102464;0.1024;0.102432;0.1024;0.102816;0.1024;0.104288;0.102432;0.10352;0.1024;0.102656;0.103584;0.102016;0.10112;0.1024;0.102816;0.10384
amazon0312.mtx,400727,400727,3200440,lightspmv,0.155612,0.15384,0.00246728,41.1336,267.403,1.90735e-06,53.809,0.158016;0.159392;0.157728;0.15904;0.1576;0.157856;0.15792;0.158496;0.157696;0.158976;0.157728;0.166144;0.157696;0.158944;0.15792;0.157984;0.157696;0.159264;0.157696;0.158848;0.157536;0.157888;0.157632;0.15904;0.157792;0.158048;0.158048;0.158272;0.157696;0.158912;0.157728;0.158336;0.157696;0.157696;0.158144;0.1592;0.157696;0.158848;0.157344;0.158496;0.158336;0.153696;0.153856;0.1536;0.153856;0.1536;0.1536;0.154016;0.154336;0.153568;0.153696;0.152544;0.153696;0.1536;0.153664;0.153472;0.153696;0.153696;0.1536;0.154016;0.154784;0.1536;0.153568;0.1536;0.1536;0.154752;0.15376;0.1536;0.153408;0.153824;0.153824;0.1536;0.153408;0.153632;0.1536;0.15488;0.153664;0.153536;0.1536;0.153824;0.1536;0.1536;0.153536;0.1536;0.153824;0.1536;0.153536;0.1536;0.153504;0.1536;0.1536;0.153504;0.1536;0.153696;0.1536;0.1536;0.154048;0.1536;0.1536;0.15344
roadNet-CA.mtx,1971281,1971281,5533214,cusparse_default,0.170544,0.1704,0.000709123,64.8891,481.805,-1,100,0.171488;0.169504;0.170784;0.170432;0.171168;0.169984;0.170848;0.17072;0.168672;0.171136;0.169984;0.171968;0.1704;0.17072;0.169888;0.169248;0.169984;0.172288;0.169984;0.16944;0.169984;0.17056;0.169984;0.171008;0.171264;0.169952;0.1704;0.170144;0.169984;0.1712;0.171552;0.1704;0.170528;0.1696;0.171296;0.1704;0.170336;0.170016;0.170528;0.169856;0.1704;0.170144;0.169888;0.169984;0.170016;0.171584;0.16976;0.170336;0.171968;0.172032;0.170144;0.170432;0.170016;0.169888;0.169952;0.170176;0.170592;0.170176;0.170272;0.170496;0.170304;0.171104;0.1712;0.169984;0.171168;0.171904;0.170208;0.17168;0.170752;0.17024;0.1712;0.169984;0.170464;0.171456;0.170144;0.17136;0.170624;0.1704;0.169984;0.170528;0.169632;0.170688;0.169856;0.172032;0.171936;0.170176;0.170496;0.170144;0.16976;0.170176;0.17136;0.171232;0.171008;0.170272;0.169984;0.170784;0.169984;0.170688;0.171648;0.171936
roadNet-CA.mtx,1971281,1971281,5533214,cusparse_csr_alg2,0.182554,0.182368,0.000802203,60.6199,450.106,-1,93.4208,0.183904;0.182464;0.183072;0.182272;0.18288;0.182272;0.1824;0.182304;0.18256;0.182272;0.183424;0.183488;0.182176;0.182688;0.183104;0.182368;0.182496;0.181216;0.182272;0.182688;0.182528;0.182272;0.184032;0.1808;0.182272;0.182752;0.184128;0.183072;0.183296;0.182272;0.182112;0.18112;0.182272;0.183712;0.182912;0.182752;0.182784;0.180768;0.182272;0.181568;0.181248;0.183392;0.182272;0.183712;0.18208;0.182272;0.182432;0.182048;0.184;0.182624;0.182464;0.182272;0.182272;0.182272;0.182272;0.182272;0.182272;0.182368;0.183808;0.182368;0.183744;0.1824;0.182144;0.18304;0.184064;0.182816;0.182336;0.182176;0.183776;0.180992;0.180448;0.183328;0.183456;0.183808;0.182464;0.180576;0.182272;0.182272;0.182272;0.182272;0.184288;0.183008;0.182176;0.182592;0.180736;0.182272;0.182976;0.182272;0.182272;0.181664;0.182272;0.182272;0.182112;0.182496;0.18368;0.184064;0.18288;0.18256;0.182336;0.183104
